Participant number,Age,Gender,Phase,Phase score,Block,Word,Color,Response,Time
3,24,m,1,0.9625,1,yellow,green,yellow,1.397284985
3,24,m,1,0.9625,1,purple,yellow,purple,0.8967308998
3,24,m,1,0.9625,1,green,blue,green,1.262057066
3,24,m,1,0.9625,1,red,purple,red,0.6806681156
3,24,m,1,0.9625,1,purple,green,purple,1.193182945
3,24,m,1,0.9625,1,red,green,red,0.7408030033
3,24,m,1,0.9625,1,yellow,red,blue,0.8494441509
3,24,m,1,0.9625,1,red,yellow,red,1.180626869
3,24,m,1,0.9625,1,green,yellow,purple,1.355092049
3,24,m,1,0.9625,1,blue,yellow,blue,1.00217104
3,24,m,1,0.9625,1,green,red,green,1.774779081
3,24,m,1,0.9625,1,green,purple,green,1.19390893
3,24,m,1,0.9625,1,blue,green,blue,1.046962976
3,24,m,1,0.9625,1,purple,red,purple,1.812674999
3,24,m,1,0.9625,1,blue,red,blue,3.420584917
3,24,m,1,0.9625,1,purple,blue,purple,1.456729889
3,24,m,1,0.9625,1,yellow,purple,yellow,1.755114079
3,24,m,1,0.9625,1,red,blue,red,1.955386877
3,24,m,1,0.9625,1,yellow,blue,yellow,1.567325115
3,24,m,1,0.9625,1,blue,purple,blue,1.133385181
3,24,m,1,0.9625,2,purple,red,purple,0.749049902
3,24,m,1,0.9625,2,green,yellow,green,1.42651701
3,24,m,1,0.9625,2,yellow,blue,yellow,0.816835165
3,24,m,1,0.9625,2,green,purple,purple,0.8451189995
3,24,m,1,0.9625,2,green,blue,green,0.7898199558
3,24,m,1,0.9625,2,blue,purple,blue,0.82574296
3,24,m,1,0.9625,2,yellow,red,yellow,1.691735029
3,24,m,1,0.9625,2,red,purple,red,0.6522510052
3,24,m,1,0.9625,2,blue,yellow,blue,0.7402751446
3,24,m,1,0.9625,2,yellow,purple,yellow,1.121495962
3,24,m,1,0.9625,2,purple,green,purple,2.683500051
3,24,m,1,0.9625,2,purple,blue,purple,0.6531329155
3,24,m,1,0.9625,2,yellow,green,yellow,2.065535069
3,24,m,1,0.9625,2,red,blue,red,0.523952961
3,24,m,1,0.9625,2,blue,red,blue,1.096994877
3,24,m,1,0.9625,2,red,yellow,red,0.9479038715
3,24,m,1,0.9625,2,purple,yellow,purple,3.188509941
3,24,m,1,0.9625,2,red,green,red,0.7750551701
3,24,m,1,0.9625,2,green,red,green,1.565781832
3,24,m,1,0.9625,2,blue,green,blue,1.558317184
3,24,m,1,0.9625,3,purple,red,purple,2.596639872
3,24,m,1,0.9625,3,red,blue,red,0.6710929871
3,24,m,1,0.9625,3,red,purple,red,0.8651320934
3,24,m,1,0.9625,3,red,yellow,red,0.5650341511
