Participant number,Age,Gender,Phase,Phase score,Block,Word,Color,Response,Time
2,23,f,2,0.95,1,red,green,green,0.6130430698
2,23,f,2,0.95,1,blue,purple,purple,1.11699605
2,23,f,2,0.95,1,blue,red,red,1.832250118
2,23,f,2,0.95,1,purple,yellow,yellow,0.7070729733
2,23,f,2,0.95,2,green,blue,blue,0.731359005
2,23,f,2,0.95,2,yellow,purple,purple,1.214926958
2,23,f,2,0.95,2,blue,yellow,yellow,1.714302063
2,23,f,2,0.95,2,purple,yellow,yellow,0.8139359951
2,23,f,2,0.95,2,purple,blue,blue,2.020539999
2,23,f,2,0.95,2,yellow,blue,blue,0.5557529926
2,23,f,2,0.95,2,red,purple,purple,3.394829035
2,23,f,2,0.95,2,blue,purple,purple,0.4475848675
2,23,f,2,0.95,2,green,yellow,yellow,0.823841095
2,23,f,2,0.95,2,purple,red,red,0.8907139301
2,23,f,2,0.95,2,red,yellow,yellow,2.97989893
2,23,f,2,0.95,2,blue,red,red,0.7902338505
2,23,f,2,0.95,2,red,blue,blue,2.493289948
2,23,f,2,0.95,2,yellow,red,red,0.9877531528
2,23,f,2,0.95,2,yellow,green,green,0.6390519142
2,23,f,2,0.95,2,green,red,red,1.447694778
2,23,f,2,0.95,2,green,purple,purple,0.6898550987
2,23,f,2,0.95,2,purple,green,green,0.8246600628
2,23,f,2,0.95,2,red,green,green,0.7936961651
2,23,f,2,0.95,2,blue,green,green,0.6251819134
2,23,f,2,0.95,3,blue,red,red,0.6492772102
2,23,f,2,0.95,3,red,yellow,yellow,0.8969359398
2,23,f,2,0.95,3,yellow,purple,purple,0.6193208694
2,23,f,2,0.95,3,yellow,red,red,0.5888209343
2,23,f,2,0.95,3,yellow,blue,blue,1.025141001
2,23,f,2,0.95,3,red,blue,blue,0.3787469864
2,23,f,2,0.95,3,blue,purple,purple,0.6239697933
2,23,f,2,0.95,3,blue,yellow,yellow,0.997841835
2,23,f,2,0.95,3,red,purple,purple,1.6469419
2,23,f,2,0.95,3,purple,red,red,1.034778118
2,23,f,2,0.95,3,purple,blue,purple,4.475159883
2,23,f,2,0.95,3,blue,green,green,0.8210420609
2,23,f,2,0.95,3,green,purple,purple,0.8430981636
2,23,f,2,0.95,3,yellow,green,green,0.7545568943
2,23,f,2,0.95,3,green,red,red,0.6579170227
2,23,f,2,0.95,3,green,yellow,yellow,1.988733053
2,23,f,2,0.95,3,green,blue,blue,1.045351982
2,23,f,2,0.95,3,red,green,green,1.645467043
2,23,f,2,0.95,3,purple,yellow,yellow,0.9416370392
2,23,f,2,0.95,3,purple,green,green,2.689501047
2,23,f,2,0.95,4,green,purple,purple,1.082249165
2,23,f,2,0.95,4,green,red,red,0.9714930058
2,23,f,2,0.95,4,red,yellow,yellow,0.9949989319
2,23,f,2,0.95,4,blue,yellow,yellow,0.5853888988
2,23,f,2,0.95,4,red,green,green,0.6877031326
2,23,f,2,0.95,4,yellow,blue,blue,1.120792866
2,23,f,2,0.95,4,purple,yellow,yellow,1.463706017
2,23,f,2,0.95,4,blue,purple,purple,1.11756897
2,23,f,2,0.95,4,blue,green,green,2.040112019
2,23,f,2,0.95,4,yellow,green,green,0.4235420227
2,23,f,2,0.95,4,yellow,red,red,0.7809400558
2,23,f,2,0.95,4,purple,green,purple,1.121114969
2,23,f,2,0.95,4,red,purple,purple,1.152757883
2,23,f,2,0.95,4,green,blue,blue,1.31242013
2,23,f,2,0.95,4,green,yellow,yellow,1.238208771
2,23,f,2,0.95,4,yellow,purple,purple,0.7816660404
2,23,f,2,0.95,4,blue,red,red,0.6044290066
2,23,f,2,0.95,4,purple,blue,blue,1.048110008
2,23,f,2,0.95,4,red,blue,blue,0.4845190048
2,23,f,2,0.95,4,purple,red,red,0.6640069485
