Participant number,Age,Gender,Phase,Phase score,Block,Word,Color,Response,Time
1,22,m,2,0.925,2,blue,yellow,yellow,1.354791164
1,22,m,2,0.925,2,purple,blue,purple,3.680344105
1,22,m,2,0.925,2,yellow,green,green,2.718379974
1,22,m,2,0.925,2,purple,red,red,1.939690828
1,22,m,2,0.925,2,green,purple,purple,2.397188902
1,22,m,2,0.925,2,red,yellow,yellow,3.669939041
1,22,m,2,0.925,2,green,yellow,yellow,1.587927103
1,22,m,2,0.925,2,purple,yellow,yellow,1.025440216
1,22,m,2,0.925,2,purple,green,green,1.937107086
1,22,m,2,0.925,2,yellow,blue,blue,2.58505702
1,22,m,2,0.925,3,green,red,red,0.8564929962
1,22,m,2,0.925,3,purple,green,green,4.504961967
1,22,m,2,0.925,3,yellow,blue,blue,0.6271848679
1,22,m,2,0.925,3,red,green,green,2.201982975
1,22,m,2,0.925,3,blue,red,None,5.013070107
1,22,m,2,0.925,3,red,blue,blue,1.793026924
1,22,m,2,0.925,3,purple,red,red,2.339492083
1,22,m,2,0.925,3,green,blue,blue,1.928133011
1,22,m,2,0.925,3,green,yellow,yellow,2.35935998
1,22,m,2,0.925,3,purple,yellow,yellow,1.329045057
1,22,m,2,0.925,3,red,yellow,yellow,1.223496914
1,22,m,2,0.925,3,yellow,purple,yellow,2.759454966
1,22,m,2,0.925,3,green,purple,yellow,0.9177591801
1,22,m,2,0.925,3,yellow,red,red,1.401242018
1,22,m,2,0.925,3,blue,yellow,yellow,2.175780058
1,22,m,2,0.925,3,red,purple,purple,1.402528048
1,22,m,2,0.925,3,blue,purple,purple,1.890105963
1,22,m,2,0.925,3,blue,green,blue,2.268600941
1,22,m,2,0.925,3,yellow,green,green,0.8925900459
1,22,m,2,0.925,3,purple,blue,blue,1.689045906
1,22,m,2,0.925,4,green,purple,purple,0.9733448029
1,22,m,2,0.925,4,red,purple,purple,0.8702750206
1,22,m,2,0.925,4,purple,blue,blue,0.6178071499
1,22,m,2,0.925,4,green,blue,blue,0.5775871277
1,22,m,2,0.925,4,yellow,blue,blue,0.4593029022
1,22,m,2,0.925,4,purple,red,red,0.5623121262
1,22,m,2,0.925,4,purple,green,green,0.7175970078
1,22,m,2,0.925,4,green,red,red,1.429049015
1,22,m,2,0.925,4,blue,yellow,yellow,1.075299025
1,22,m,2,0.925,4,green,yellow,yellow,0.5251791477
1,22,m,2,0.925,4,yellow,green,green,0.8989641666
1,22,m,2,0.925,4,purple,yellow,yellow,0.927489996
1,22,m,2,0.925,4,red,yellow,yellow,0.5575399399
1,22,m,2,0.925,4,yellow,purple,purple,0.8136329651
1,22,m,2,0.925,4,blue,green,green,2.254671097
1,22,m,2,0.925,4,red,green,green,0.554872036
1,22,m,2,0.925,4,yellow,red,red,0.6618521214
1,22,m,2,0.925,4,blue,purple,purple,1.010967016
1,22,m,2,0.925,4,blue,red,red,2.134552956
1,22,m,2,0.925,4,red,blue,blue,0.5689740181
