Participant number,Age,Gender,Phase,Phase score,Block,Word,Color,Response,Time
1,22,m,1,0.9625,1,green,red,green,1.358914137
1,22,m,1,0.9625,1,red,yellow,red,1.099454165
1,22,m,1,0.9625,1,yellow,blue,yellow,1.4022789
1,22,m,1,0.9625,1,purple,red,purple,0.9473869801
1,22,m,1,0.9625,1,red,green,red,1.62886405
1,22,m,1,0.9625,1,purple,blue,purple,0.8091950417
1,22,m,1,0.9625,1,red,blue,red,0.9779868126
1,22,m,1,0.9625,1,purple,yellow,purple,0.8976578712
1,22,m,1,0.9625,1,blue,green,blue,0.9545750618
1,22,m,1,0.9625,1,green,yellow,green,1.718458176
1,22,m,1,0.9625,1,blue,yellow,blue,1.027247906
1,22,m,1,0.9625,1,blue,purple,blue,0.7437798977
1,22,m,1,0.9625,1,red,purple,red,0.7211771011
1,22,m,1,0.9625,1,yellow,red,yellow,1.244556904
1,22,m,1,0.9625,1,purple,green,purple,0.8395888805
1,22,m,1,0.9625,1,yellow,green,purple,0.7815649509
1,22,m,1,0.9625,1,yellow,purple,yellow,1.250733852
1,22,m,1,0.9625,1,green,purple,green,2.264387846
1,22,m,1,0.9625,1,blue,red,blue,1.061433077
1,22,m,1,0.9625,1,green,blue,green,1.474697828
1,22,m,1,0.9625,2,blue,purple,blue,0.6934559345
1,22,m,1,0.9625,2,red,green,red,0.7819838524
1,22,m,1,0.9625,2,blue,red,blue,0.8841788769
1,22,m,1,0.9625,2,blue,yellow,blue,1.094623804
1,22,m,1,0.9625,2,yellow,green,yellow,1.137859821
1,22,m,1,0.9625,2,purple,yellow,purple,1.218069077
1,22,m,1,0.9625,2,green,red,green,1.069560051
1,22,m,1,0.9625,2,purple,red,purple,1.581949949
1,22,m,1,0.9625,2,blue,green,blue,1.293013096
1,22,m,1,0.9625,2,red,yellow,red,0.9039430618
1,22,m,1,0.9625,2,red,blue,red,0.6793038845
1,22,m,1,0.9625,2,green,blue,green,1.42261219
1,22,m,1,0.9625,2,yellow,red,yellow,1.586027145
1,22,m,1,0.9625,2,red,purple,red,1.125684023
1,22,m,1,0.9625,2,yellow,blue,yellow,1.751343012
1,22,m,1,0.9625,2,purple,blue,purple,1.76434207
1,22,m,1,0.9625,2,purple,green,purple,0.7327740192
1,22,m,1,0.9625,2,green,purple,green,1.146831989
1,22,m,1,0.9625,2,green,yellow,green,1.037765026
1,22,m,1,0.9625,2,yellow,purple,yellow,1.601530075
1,22,m,1,0.9625,3,yellow,purple,yellow,0.9553911686
1,22,m,1,0.9625,3,blue,green,blue,1.161597013
1,22,m,1,0.9625,3,blue,red,blue,0.5736880302
1,22,m,1,0.9625,3,purple,yellow,purple,0.7485029697
1,22,m,1,0.9625,3,yellow,green,yellow,1.031823158
1,22,m,1,0.9625,3,green,red,green,1.445375204
1,22,m,1,0.9625,3,green,blue,green,0.9289419651
1,22,m,1,0.9625,3,red,purple,red,1.262216091
1,22,m,1,0.9625,3,red,blue,red,0.7507009506
1,22,m,1,0.9625,3,blue,purple,blue,0.8745038509
1,22,m,1,0.9625,3,purple,red,purple,0.6433930397
1,22,m,1,0.9625,3,red,green,red,0.7883689404
1,22,m,1,0.9625,3,yellow,blue,yellow,1.240827084
1,22,m,1,0.9625,3,green,yellow,purple,0.5115940571
1,22,m,1,0.9625,3,blue,yellow,blue,0.7572431564
1,22,m,1,0.9625,3,red,yellow,red,1.097074032
1,22,m,1,0.9625,3,purple,blue,purple,0.9996788502
1,22,m,1,0.9625,3,purple,green,purple,0.7377431393
1,22,m,1,0.9625,3,yellow,red,yellow,1.429154873
1,22,m,1,0.9625,3,green,purple,green,1.82052803
1,22,m,1,0.9625,4,yellow,purple,yellow,1.198935986
1,22,m,1,0.9625,4,blue,purple,blue,1.115477085
1,22,m,1,0.9625,4,blue,green,blue,0.7332901955
1,22,m,1,0.9625,4,green,red,green,1.185033083
1,22,m,1,0.9625,4,red,purple,red,1.291969061
1,22,m,1,0.9625,4,green,blue,purple,0.8872199059
1,22,m,1,0.9625,4,yellow,blue,yellow,1.664649963
1,22,m,1,0.9625,4,blue,yellow,blue,0.8103199005
1,22,m,1,0.9625,4,yellow,red,yellow,1.140345812
1,22,m,1,0.9625,4,yellow,green,yellow,0.7861478329
1,22,m,1,0.9625,4,red,yellow,red,1.076930046
1,22,m,1,0.9625,4,red,blue,red,0.7807540894
1,22,m,1,0.9625,4,purple,green,purple,0.906222105
1,22,m,1,0.9625,4,purple,yellow,purple,0.9368309975
1,22,m,1,0.9625,4,blue,red,blue,0.9918348789
1,22,m,1,0.9625,4,purple,blue,purple,0.9571969509
1,22,m,1,0.9625,4,red,green,red,1.317645788
1,22,m,1,0.9625,4,green,purple,green,0.8571250439
1,22,m,1,0.9625,4,green,yellow,green,0.7558839321
1,22,m,1,0.9625,4,purple,red,purple,1.091075182
1,22,m,2,0.925,1,green,red,green,1.993865013
1,22,m,2,0.925,1,yellow,green,green,3.728671074
1,22,m,2,0.925,1,blue,purple,purple,1.037537098
1,22,m,2,0.925,1,red,purple,purple,1.729667187
1,22,m,2,0.925,1,yellow,blue,blue,1.456882954
1,22,m,2,0.925,1,yellow,red,red,0.5079879761
1,22,m,2,0.925,1,blue,yellow,yellow,0.8509399891
1,22,m,2,0.925,1,green,yellow,yellow,2.411450148
1,22,m,2,0.925,1,yellow,purple,purple,2.523035049
1,22,m,2,0.925,1,purple,red,red,1.338362932
1,22,m,2,0.925,1,red,yellow,yellow,1.026284933
1,22,m,2,0.925,1,purple,green,green,1.159576178
1,22,m,2,0.925,1,blue,red,red,0.6454749107
1,22,m,2,0.925,1,purple,yellow,yellow,0.720154047
1,22,m,2,0.925,1,red,green,green,1.424602032
1,22,m,2,0.925,1,blue,green,green,0.6939430237
1,22,m,2,0.925,1,green,purple,purple,3.055738211
1,22,m,2,0.925,1,red,blue,blue,0.7704620361
1,22,m,2,0.925,1,green,blue,blue,0.6063950062
1,22,m,2,0.925,1,purple,blue,blue,0.6438040733
1,22,m,2,0.925,2,blue,purple,purple,0.8824028969
1,22,m,2,0.925,2,red,green,green,0.5393769741
1,22,m,2,0.925,2,yellow,red,red,0.5514068604
1,22,m,2,0.925,2,red,purple,purple,1.37247014
1,22,m,2,0.925,2,red,blue,blue,1.017665863
1,22,m,2,0.925,2,green,red,red,0.6830921173
1,22,m,2,0.925,2,green,blue,blue,2.687736034
1,22,m,2,0.925,2,blue,green,green,1.481945038
1,22,m,2,0.925,2,blue,red,red,1.199504137
1,22,m,2,0.925,2,yellow,purple,purple,1.514050007
