Participant number,Age,Gender,Phase,Phase score,Block,Word,Color,Response,Time
4,23,f,1,0.9,1,blue,purple,blue,2.914304972
4,23,f,1,0.9,1,yellow,green,yellow,1.720943928
4,23,f,1,0.9,1,yellow,red,yellow,0.5429091454
4,23,f,1,0.9,1,green,yellow,green,0.8049340248
4,23,f,1,0.9,1,yellow,purple,yellow,1.518386126
4,23,f,1,0.9,1,red,blue,red,0.773113966
4,23,f,1,0.9,1,blue,red,blue,0.7777540684
4,23,f,1,0.9,1,green,purple,green,2.29729414
4,23,f,1,0.9,1,red,yellow,red,0.6845111847
4,23,f,1,0.9,1,purple,yellow,purple,0.8570430279
4,23,f,1,0.9,1,blue,yellow,blue,2.471561909
4,23,f,1,0.9,1,yellow,blue,yellow,1.353312016
4,23,f,1,0.9,1,green,blue,green,0.7679719925
4,23,f,1,0.9,1,red,green,red,0.8009810448
4,23,f,1,0.9,1,red,purple,red,0.9478299618
4,23,f,1,0.9,1,purple,red,purple,0.7443830967
4,23,f,1,0.9,1,purple,green,purple,0.6407849789
4,23,f,1,0.9,1,purple,blue,purple,0.4885389805
4,23,f,1,0.9,1,blue,green,blue,0.6707341671
4,23,f,1,0.9,1,green,red,green,0.7296741009
4,23,f,1,0.9,2,blue,purple,red,0.686207056
4,23,f,1,0.9,2,purple,yellow,purple,1.105084896
4,23,f,1,0.9,2,red,yellow,red,0.782790184
4,23,f,1,0.9,2,yellow,purple,yellow,1.03152895
4,23,f,1,0.9,2,blue,yellow,red,1.09155798
4,23,f,1,0.9,2,red,green,red,1.415819168
4,23,f,1,0.9,2,red,blue,red,0.7799270153
4,23,f,1,0.9,2,yellow,green,purple,0.6653280258
4,23,f,1,0.9,2,purple,green,purple,0.4727010727
4,23,f,1,0.9,2,green,red,green,0.6884040833
4,23,f,1,0.9,2,yellow,red,yellow,1.12788105
4,23,f,1,0.9,2,purple,blue,purple,0.7361290455
4,23,f,1,0.9,2,green,blue,green,0.6709690094
4,23,f,1,0.9,2,blue,green,blue,1.915116072
4,23,f,1,0.9,2,green,purple,green,2.432007074
4,23,f,1,0.9,2,yellow,blue,yellow,0.9349060059
4,23,f,1,0.9,2,purple,red,purple,0.7802898884
4,23,f,1,0.9,2,green,yellow,green,2.250750065
4,23,f,1,0.9,2,red,purple,red,1.325875998
4,23,f,1,0.9,2,blue,red,blue,0.6638939381
4,23,f,1,0.9,3,green,blue,green,1.441152096
4,23,f,1,0.9,3,red,blue,red,0.924916029
4,23,f,1,0.9,3,green,red,green,3.269052982
4,23,f,1,0.9,3,red,green,red,1.041285992
4,23,f,1,0.9,3,yellow,blue,yellow,1.049675941
4,23,f,1,0.9,3,blue,purple,blue,1.067131996
4,23,f,1,0.9,3,yellow,purple,purple,2.055361986
4,23,f,1,0.9,3,red,yellow,red,0.9102900028
